zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,0,1,1.0986122886681096,5.986452005284438,9.392745258631441
0,0,0,1,1.0986122886681096,4.948759890378168,7.696667081526462
0,0,1,0,1.6094379124341003,5.831882477283517,9.15915233520675
0,0,0,1,2.5649493574615367,5.707110264748875,8.922791623969637
1,0,0,0,1.0986122886681096,3.9318256327243257,6.7580945044277305
0,0,1,0,1.3862943611198906,5.198497031265826,8.160803920954665
0,1,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
0,1,0,0,1.0986122886681096,4.394449154672439,7.550135342488429
0,1,0,0,0.6931471805599453,4.51085950651685,7.208600337960199
0,0,0,1,1.3862943611198906,5.5254529391317835,9.90353755128617
1,0,0,0,1.6094379124341003,4.795790545596741,8.517393171418904
0,1,0,0,0.6931471805599453,3.9318256327243257,6.7464121285733745
0,0,1,0,2.3978952727983707,6.042632833682381,8.852378886511985
0,1,0,0,0.6931471805599453,4.2626798770413155,6.398594934535208
0,0,1,0,1.6094379124341003,6.2166061010848646,8.699681400989514
0,1,0,0,1.0986122886681096,4.454347296253507,7.208600337960199
0,1,0,0,1.3862943611198906,5.303304908059076,8.188966863648876
1,0,0,0,1.0986122886681096,4.189654742026425,7.208600337960199
1,0,0,0,1.3862943611198906,4.875197323201151,8.160803920954665
1,0,0,0,1.3862943611198906,4.6913478822291435,7.937731775260109
0,0,0,1,0.6931471805599453,3.4965075614664802,6.311734809152915
0,1,0,0,1.3862943611198906,4.61512051684126,7.901377353792616
1,0,0,0,1.0986122886681096,4.795790545596741,9.210440366976517
0,0,0,1,1.0986122886681096,4.51085950651685,7.824445930877619
0,0,1,0,1.0986122886681096,5.081404364984463,8.497194544909547
0,0,1,0,0.6931471805599453,5.081404364984463,8.323122887587735
0,0,1,0,1.6094379124341003,5.707110264748875,8.987321812850125
0,1,0,0,1.6094379124341003,5.5254529391317835,8.216358332386156
1,0,0,0,1.0986122886681096,4.330733340286331,7.244941546337007
1,0,0,0,1.0986122886681096,4.2626798770413155,7.208600337960199
1,0,0,0,1.0986122886681096,4.189654742026425,7.170888478512505
0,1,0,0,0.6931471805599453,5.081404364984463,6.673297967767654
1,0,0,0,1.0986122886681096,4.51085950651685,7.244941546337007
0,1,0,0,0.6931471805599453,4.110873864173311,6.803505257608338
0,1,0,0,0.6931471805599453,3.713572066704308,6.803505257608338
